"","R","G","B","H","S","V","Pixel","Berat","Class"
"5611",135.178998738993,43.6859193947166,21.2465396721382,113.59642002522,233.578520151321,132.986158688553,24185.9587590485,40.6859193947166,"Matang"
"264",104,31,16,114,235,101,20871,51,"Matang"
"5411",113.071037438698,35.0710374386981,15.5355187193491,113.732240640325,236.535518719349,109.267759359675,17424.1795879346,34.2131123160943,"Matang"
"119",138,47,19,113,236,134,20388,31,"Matang"
"432",173.091781015042,60.7346681607887,31.6785564271268,113.188777653268,222.887776532676,171.28055866831,33689.8089826147,47.8673340803944,"Matang"
"123",178,63,33,113,221,176,35685,49,"Matang"
"96",172,59,29,113,227,171,30165,43,"Matang"
"2110",111,36,17,114,240,110,23781,55,"Matang"
"82",124.42015562579,41.6302334386855,19.2604668773711,114,232.840311251581,119,25047.6747003794,51.8403112515807,"Matang"
"113",103,30,14,115,237,101,17568,31,"Matang"
"2411",106.538971694652,31.6995325884782,14.5596260707825,114.860093482304,237.580280446913,104.399065176956,19058.2926357505,31,"Matang"
"413",130.932617114624,45.9301545231137,25.0723080683965,114,234.069845476886,124.790463569341,25372.3586171404,52.4264606358483,"Matang"
"143",115.646336221602,34.3231681108009,16.1330692220945,113.980990111129,235.942970333388,112.684355999343,19157.7860698965,31.3421779996715,"Matang"
"93",149,52,25,113,228,150,25074,43,"Matang"
"911",121,41,20,114,234,117,23205,43,"Matang"
"302",128,48,23,113,237,119,25935,55,"Matang"
"2610",125.07926826831,38.6796602674294,18.8797909338027,114,233.480182932923,122.07926826831,19635.3175072954,31,"Matang"
"118",116,36,18,114,235,113,18390,31,"Matang"
"265",164,58,30,113,220,164,32925,51,"Matang"
"269",153,54,22,112,234,152,23991,51,"Matang"
"2811",116.790598592721,37.5811971854419,18.5929489445407,114,234.80235035182,113.39529929636,20578.5745542997,35.7435915563256,"Matang"
"2410",161,58,26,112,233,163,30828,55,"Matang"
"1011",149,53,29,114,227,146,23784,43,"Matang"
"2611",165,58,29,113,230,164,31776,55,"Matang"
"1821",106.405855017714,33.0479553900659,17.2619888475165,114.738011152484,232.785966542549,102.667843865231,23229.8771379869,44.2842007447034,"Matang"
"462",141.388776963111,48.2208701570053,23.7261664920952,113.747351832455,231.252648167545,139.630832460476,24731.7221371641,43,"Matang"
"92",123,44,23,114,233,116,23196,43,"Matang"
"275",145.315628297627,49.7149190083146,21.9145643636584,112.742806479335,230.971225917339,144.201418578625,21765.0428021327,31,"Matang"
"166",120,44,21,114,234,115,29463,55,"Matang"
"301",144.752940177917,47.980391740799,24.4901958703995,114,231.60392165184,143.450979351997,24475.0881469846,44.2078433036804,"Matang"
"471",118.663700959645,39.1076511195861,18.8879003198817,114,235.887900319882,113.887900319882,21618.40556309,41.6548038385808,"Matang"
"107",112,34,15,114,236,109,16449,31,"Matang"
"511",147.033566569909,49.137587463716,24.8825524782296,114,231.496643343009,145.5369232269,24971.1043046771,43.7449650145136,"Matang"
"1010",114.692488749744,35.6264253570698,17.6264253570698,114,235.37357464293,111.879276071209,18769.92541186,34.7357464293018,"Matang"
"292",122,40,21,114,239,116,24159,55,"Matang"
"322",108.685575078242,34,16.5262020768132,114,231.790383385494,105.685575078242,22060.4020814484,41.5240415362641,"Matang"
"271",126,44,24,114,236,119,25806,55,"Matang"
"442",121.550964094233,37.8203856376931,20.7305784565397,114.955096409423,234.089807181153,116.640771275386,22142.3296965722,42.4611569130793,"Matang"
"126",169,59,33,114,221,168,32457,49,"Matang"
"137",150.448060328607,50.3252436211333,25.59514617268,114,231.20242691366,149.38058469072,24873.087703608,42.59514617268,"Matang"
"4811",152.993727750145,50.5790812000632,25.6711307000369,114,228.401254449971,151.37531785015,29428.5048312396,43.4343109000474,"Matang"
"105",116,38,17,113,238,110,20091,43,"Matang"
"94",123,41,18,114,232,117,23796,43,"Matang"
"132",147,50,27,114,227,148,26241,49,"Matang"
"112",106,31,14,114,237,103,17916,31,"Matang"
"1911",129.717580153607,43.2564839692786,21.0259358771145,114,233.769451907836,124.20461221505,23495.152176518,50.5389038156718,"Matang"
