"","R","G","B","H","S","V","Pixel","Berat","Class"
"310",173.311868106946,96.8621610766277,22.2293772976846,104.688131893054,237.155934053473,173.697179458104,14999.5082433159,28.4587545953691,"Belum Matang"
"62",157,61,24,111,234,161,18879,27,"Setengah Matang"
"18",135.909846310038,65.1532612729352,17.9549231550191,106.92787704803,240.054092213977,130.819692620076,17699.2088229926,35.0090153689962,"Belum Matang"
"203",152,52,21,113,235,153,22353,62,"Setengah Matang"
"64.2",159,67,25,110,233,163,20886,27,"Setengah Matang"
"47",133.327201896347,84.3857699385844,14.9012582264841,101.950629113242,243.574056330137,130.089544618037,12007.5027800021,30.425943669863,"Belum Matang"
"381",174.461400233209,100.210950991139,21.6346499416977,103.538599766791,236.778725204058,175.14407526236,15607.6898979535,26,"Belum Matang"
"65",180,72,33,111,227,183,22842,27,"Setengah Matang"
"189",145,49,22,113,234,145,20085,45,"Setengah Matang"
"186.2",164,65,33,112,220,167,25044,45,"Setengah Matang"
"193",110,34,15,114,236,105,21321,45,"Setengah Matang"
"236.1",202,102,34,107,226,203,29706,40,"Setengah Matang"
"154",171,88,23,107,236,171,15144,30,"Belum Matang"
"279.1",145,55,17,111,238,146,15504,39,"Setengah Matang"
"281",166,68,22,110,236,167,17160,39,"Setengah Matang"
"234.1",160,71,22,109,234,162,21150,40,"Setengah Matang"
"491",157.273891186342,74.2721841130406,17.5456485310569,107.36390794348,239.545221762732,158.819539717399,13557.3801564993,29.9091297062114,"Belum Matang"
"274",167,72,26,110,231,170,19137,39,"Setengah Matang"
"371",173.461447539739,109.391567063518,20.3566268254071,100.919578353176,239.402108234121,174.059339305619,14595.7717727409,26.8042164682411,"Belum Matang"
"201",129,46,24,114,233,119,20811,62,"Setengah Matang"
"184.1",141,56,25,112,230,139,20040,45,"Setengah Matang"
"151",148,68,15,108,242,150,11937,30,"Belum Matang"
"29",126.96778691723,78.6031022323295,13.4664943204261,102.865977281705,244.533505679574,123.96778691723,11384.2728084745,30.3994829612784,"Belum Matang"
"237.1",182,89,28,108,230,183,24486,40,"Setengah Matang"
"149",165,76,21,108,238,166,19128,35,"Setengah Matang"
"188",175,63,29,113,229,176,23838,45,"Setengah Matang"
"207",111,35,15,114,239,108,16602,62,"Setengah Matang"
